"genome","completeness","contamination"
"3300050222_71.fna",94.44,2.04
"3300050222_75.fna",99.15,3.42
"3300050222_5.fna",86.35,3.96
"3300050222_72.fna",94.84,2.55
"3300050222_49.fna",88.97,0.17
"3300050222_8.fna",89.75,2.76
"3300050222_51.fna",96.61,2.04
"3300050222_7.fna",97.44,7.31
"3300050223_18.fna",98.28,1.29
"3300050224_10.fna",92.38,1.7
"3300050224_13.fna",71.27,1.33
"3300050225_39.fna",92.12,5.47
"3300050225_4.fna",75.57,2.88
"3300050225_20.fna",97.24,2.47
"3300050225_15.fna",91.58,3.42
"3300050225_11.fna",99.13,1.63
"3300050225_13.fna",83.66,1.49
"3300050225_17.fna",79.48,5.17
"3300050225_3.fna",95.81,2.56
"3300050226_27.fna",91.96,9.62
"3300050226_10.fna",78.56,9.49
"3300050226_36.fna",74.89,4.27
"3300050226_57.fna",95.3,2.56
"3300050226_2.fna",83.7,3.57
"3300050226_17.fna",89.71,0.03
"3300050226_54.fna",74.34,7.15
"3300050226_21.fna",91.64,2.29
"3300050226_48.fna",93.64,2.73
"3300050226_26.fna",72.58,1.29
"3300050226_53.fna",94.83,3.13
"3300050226_41.fna",97.84,4.05
"3300050226_38.fna",82.73,1.09
"3300050226_14.fna",92.68,1.71
"3300050226_47.fna",86.63,3.13
"3300050226_4.fna",97.36,3.96
"3300050226_49.fna",91.15,4.27
"3300050226_40.fna",84.54,0
"3300050227_30.fna",94,3.46
"3300050227_27.fna",97.53,3.8
"3300050227_26.fna",95.87,4.49
"3300050227_48.fna",94.79,1.67
"3300050227_32.fna",89.83,9.83
"3300050227_6.fna",72.11,1.55
"3300050227_63.fna",89.81,0.37
"3300050227_42.fna",98.53,0
"3300050227_59.fna",95.44,7.76
"3300050227_23.fna",72.41,1.72
"3300050227_67.fna",94.44,2.04
"3300050227_69.fna",98.79,0
"3300050227_34.fna",72.44,6.02
"3300050227_72.fna",94.87,0.85
"3300050227_13.fna",75.86,0
"3300050227_62.fna",93.33,2.17
"3300050230_12.fna",71.07,1.52
"3300050230_35.fna",77.38,2.98
"3300050230_45.fna",89.81,0.93
"3300050230_40.fna",85.19,3.06
"3300050230_24.fna",83.47,2.73
"3300050230_9.fna",95.73,6.5
"3300050230_14.fna",81.51,7.44
"3300050230_21.fna",100,4.55
"3300050231_34.fna",94.55,2.27
"3300050231_35.fna",93.56,2.93
"3300050231_48.fna",89.11,2.56
"3300050231_49.fna",89.07,3.42
"3300050231_14.fna",88.1,2.58
"3300050231_30.fna",80.42,2.25
"3300050231_38.fna",86.81,6.15
"3300050231_18.fna",95.93,2.38
"3300050231_17.fna",85.81,0.97
"3300050231_43.fna",100,3.38
"3300050231_44.fna",96.58,0.85
"3300050231_11.fna",87.16,6.01
"3300050232_63.fna",96.3,0.56
"3300050232_64.fna",84.26,0.37
"3300050232_49.fna",83.21,0.93
"3300050232_44.fna",96.95,1.91
"3300050232_62.fna",84.26,2.78
"3300050232_46.fna",90.46,7.95
"3300050232_37.fna",81.93,1.38
"3300050232_58.fna",98.55,3.64
"3300050232_59.fna",83.35,1.09
"3300050232_18.fna",95.73,4.27
"3300050232_4.fna",85.86,0.99
"3300050232_55.fna",94.08,0.85
"3300050232_3.fna",87.54,0.26
"3300050232_30.fna",95.34,6.58
"3300050232_51.fna",89.83,1.42
"3300050232_53.fna",84.49,1.5
"3300050232_52.fna",97.24,0.21
"3300050234_14.fna",73.19,2.24
"3300050234_7.fna",99,2.11
"3300050235_37.fna",91.88,4.27
"3300050235_39.fna",89.91,1.29
"3300050235_121.fna",92.24,2.97
"3300050235_105.fna",97.22,0
"3300050235_30.fna",90.95,3.56
"3300050235_32.fna",76.61,0.97
"3300050235_42.fna",87.96,0.93
"3300050235_122.fna",96.08,2.56
"3300050235_3.fna",97.44,0.85
"3300050235_116.fna",91.09,7.21
"3300050235_4.fna",94.4,0.86
"3300050235_107.fna",99.73,2.96
"3300050235_103.fna",95.73,0
"3300050235_56.fna",98.9,3.3
"3300050235_27.fna",94.3,3.12
"3300050235_117.fna",83.91,0.81
"3300050235_20.fna",99.75,0.25
"3300050235_118.fna",74.73,2.2
"3300050235_124.fna",94.8,6.11
"3300050235_106.fna",98.57,3.04
"3300050235_108.fna",98.29,1.71
"3300050235_22.fna",97.66,0
"3300050235_115.fna",90.69,3.02
"3300050235_114.fna",96.58,3.85
"3300050235_44.fna",97.73,0
"3300050235_123.fna",89,2.75
"3300050235_1.fna",81.64,3.64
"3300050235_7.fna",94.02,4.27
"3300050235_83.fna",87.08,5.57
"3300050235_26.fna",83.22,2.48
"3300050235_66.fna",91.88,1.8
"3300050235_111.fna",98.35,2.13
"3300050235_112.fna",93.18,2.27
"3300050235_51.fna",99.22,1.04
"3300050235_73.fna",96.76,2.64
"3300050235_70.fna",96.58,2.99
"3300050235_109.fna",98.45,1.59
"3300050235_13.fna",71.6,0.76
"3300050235_41.fna",95.3,3.56
"3300050235_47.fna",97.44,2.14
"3300050235_87.fna",94.02,0.85
"3300050235_17.fna",92.53,4.31
"3300050235_69.fna",87.75,0.95
"3300050235_45.fna",99.5,1.09
"3300050235_64.fna",91.74,0.92
"3300050235_110.fna",97.44,1.28
"3300050236_38.fna",95.72,0
"3300050236_37.fna",94.87,1.71
"3300050236_33.fna",98.28,5.41
"3300050236_36.fna",94.48,1.87
"3300050236_3.fna",95.83,0.93
"3300050236_30.fna",85.47,4.56
"3300050236_49.fna",94.48,2.14
"3300050236_7.fna",97.13,1.29
"3300050236_35.fna",81.38,0.53
"3300050236_34.fna",75.34,0
"3300050236_45.fna",99.89,3.79
"3300050236_42.fna",98.29,8.83
"3300050236_46.fna",89.8,8.7
"3300050236_54.fna",96.58,1.71
"3300050236_15.fna",97.22,0
"3300050236_17.fna",96.58,0.85
"3300050236_26.fna",72.41,3.45
"3300050236_29.fna",94.06,6.91
"3300050236_25.fna",90.76,1.98
"3300050236_40.fna",98.35,3.3
"3300050236_16.fna",94.9,1.9
"3300050236_51.fna",98.08,1.67
"3300050236_22.fna",95.69,1.72
"3300050236_1.fna",84.48,4.76
"3300050236_53.fna",93.16,2.56
"3300050236_21.fna",76.31,2.05
"3300050239_76.fna",93.73,2.97
"3300050239_9.fna",96.58,2.99
"3300050239_78.fna",79.11,0.97
"3300050239_47.fna",98.28,6.22
"3300050239_44.fna",97.44,2.56
"3300050239_72.fna",95.26,1.87
"3300050239_12.fna",94.87,0
"3300050239_53.fna",98.29,0.85
"3300050239_79.fna",78.88,2.09
"3300050239_52.fna",95.83,0.93
"3300050239_1.fna",88.77,3.08
"3300050239_13.fna",95.61,2.28
"3300050239_48.fna",96.29,0
"3300050239_10.fna",92.86,3.3
"3300050239_80.fna",75.04,2.56
"3300050239_14.fna",98.15,0
"3300050239_39.fna",95.69,1.72
"3300050239_40.fna",95.47,0
"3300050239_21.fna",97.57,1.11
"3300050239_30.fna",97.13,0.86
"3300050239_2.fna",83.87,1.04
"3300050239_33.fna",96.58,0.85
"3300050239_15.fna",97.2,0
"3300050239_3.fna",97.44,7.98
"3300050240_5.fna",91.8,1.82
"3300050240_54.fna",95.73,2.56
"3300050240_131.fna",87.39,6.52
"3300050240_42.fna",95.73,0
"3300050240_130.fna",87.04,7.25
"3300050240_52.fna",87.96,0.93
"3300050240_46.fna",84.38,3.41
"3300050240_125.fna",99.55,3.8
"3300050240_100.fna",85.08,0
"3300050240_4.fna",91.42,3.57
"3300050240_48.fna",95.19,0
"3300050240_126.fna",99.5,1.09
"3300050240_117.fna",79.02,4.05
"3300050240_49.fna",96.86,2.09
"3300050240_137.fna",93.62,1.85
"3300050240_38.fna",87.18,2.2
"3300050240_110.fna",92.03,5.99
"3300050240_107.fna",79.49,2.85
"3300050240_128.fna",86.67,7.69
"3300050240_14.fna",90.11,2.2
"3300050240_80.fna",96.26,3.02
"3300050240_78.fna",96.55,0.35
"3300050240_59.fna",96.58,1.4
"3300050240_98.fna",99.15,1.28
"3300050240_105.fna",99.1,1.2
"3300050240_39.fna",90.95,3.56
"3300050240_133.fna",83.48,2.42
"3300050240_68.fna",95.45,2.27
"3300050240_108.fna",91.45,1.71
"3300050240_85.fna",97.44,0.85
"3300050240_17.fna",90.91,2.73
"3300050240_97.fna",98.11,5.08
"3300050240_102.fna",97.22,0
"3300050240_26.fna",95.69,0.86
"3300050240_96.fna",97.23,1.55
"3300050240_36.fna",94.82,7.74
"3300050240_121.fna",99.22,1.04
"3300050240_56.fna",97.24,1.78
"3300050240_64.fna",84.49,1.29
"3300050240_101.fna",98.29,1.28
"3300050240_27.fna",94.54,1.29
"3300050240_57.fna",70.67,1.82
"3300050240_79.fna",96.58,2.99
"3300050240_58.fna",91.74,0.92
"3300050240_22.fna",98.19,0.6
"3300050240_90.fna",96.58,0.85
"3300050240_88.fna",95.16,3.42
"3300050240_8.fna",98.09,3.5
"3300050240_74.fna",81.48,0.85
"3300050240_89.fna",98.36,1.99
"3300050240_6.fna",100,1.28
"3300050240_34.fna",79.12,4.4
"3300050240_61.fna",97.54,2.01
"3300050241_99.fna",98.7,1.73
"3300050241_51.fna",87.18,5.21
"3300050241_45.fna",95.73,1.71
"3300050241_28.fna",80.45,4.35
"3300050241_40.fna",98.29,3.42
"3300050241_42.fna",94.58,5.81
"3300050241_39.fna",73.77,3.3
"3300050241_73.fna",82.3,1.09
"3300050241_82.fna",78.9,1.08
"3300050241_83.fna",98.29,3.56
"3300050241_25.fna",96.12,3.19
"3300050241_22.fna",96.95,3.75
"3300050241_53.fna",92.9,0
"3300050241_72.fna",98.9,3.3
"3300050241_48.fna",96.68,2.06
"3300050241_24.fna",88.93,1.96
"3300050241_19.fna",91.55,1.71
"3300050241_62.fna",96.96,0
"3300050241_47.fna",93.28,0.53
"3300050241_10.fna",96.06,5.46
"3300050241_50.fna",89.89,1.39
"3300050241_2.fna",98.29,7.98
"3300050241_67.fna",98.73,1.77
"3300050241_61.fna",78.45,0.86
"3300050241_16.fna",97.44,3.13
"3300050241_12.fna",93.59,2.89
"3300050241_89.fna",98.9,3.48
"3300050241_85.fna",89.81,2.96
"3300050241_86.fna",97.44,2.99
"3300050241_56.fna",95.92,3.88
"3300050242_3.fna",74.89,0.26
"3300050242_33.fna",91.19,5.56
"3300050242_30.fna",90.7,0
"3300050242_21.fna",80.27,6.61
"3300050242_44.fna",79.59,1.71
"3300050242_41.fna",96.98,2.5
"3300050242_14.fna",81.42,6.2
"3300050242_26.fna",80.77,6.16
"3300050242_22.fna",97.95,1.14
"3300050242_66.fna",85.57,1.71
"3300050242_65.fna",96.58,2.56
"3300050242_71.fna",77.66,2.2
"3300050242_2.fna",91.52,1.29
"3300050242_19.fna",82.76,0
"3300050242_5.fna",73.68,1.71
"3300050242_7.fna",94.82,1.72
"3300050242_63.fna",77.2,3.85
"3300050242_67.fna",98.29,0.85
"3300050242_61.fna",99.95,1.71
"3300050242_23.fna",95.73,2.56
"3300050242_59.fna",94.87,2.56
"3300050242_49.fna",93.67,5.26
"3300050242_9.fna",86.59,2.61
"3300050242_47.fna",74.18,6.69
"3300050345_53.fna",91.98,3.23
"3300050345_48.fna",74.35,1
"3300050345_34.fna",94.87,2.56
"3300050345_59.fna",73.08,1.99
"3300050345_38.fna",85.68,4.04
"3300050345_33.fna",86.83,2.01
"3300050345_31.fna",95.51,6.04
"3300050345_30.fna",76.64,0.85
"3300050345_40.fna",72.65,4.27
"3300050345_45.fna",95.32,2.04
"3300050345_42.fna",97.97,1.28
"3300050345_5.fna",89.04,1.03
"3300050345_44.fna",94.54,9.87
"3300050345_32.fna",98.4,1.6
"3300050345_9.fna",74.31,0
"3300050345_23.fna",76.95,0.85
"3300050346_40.fna",77.89,3.06
"3300050346_17.fna",83.84,2.29
"3300050346_27.fna",99.13,3.91
"3300050346_49.fna",94.44,0.85
"3300050346_45.fna",82.17,3.17
"3300050346_23.fna",98.77,1.39
"3300050346_53.fna",91.45,0
"3300050346_50.fna",98.29,2.99
"3300050346_43.fna",72.98,1.75
"3300050346_47.fna",98.65,2.01
"3300050346_56.fna",94.65,3.92
"3300050346_22.fna",90.53,1.03
"3300050346_29.fna",87.72,7.88
"3300050346_37.fna",85.47,1.28
"3300050346_30.fna",78.89,9.4
"3300050346_35.fna",86.04,5.13
"3300050346_7.fna",84.18,1.75
"3300050346_19.fna",99.15,9.83
"3300050347_30.fna",86.32,2.56
"3300050347_55.fna",83.33,2.65
"3300050347_46.fna",80.34,0
"3300050347_38.fna",89.69,1.93
"3300050347_51.fna",88.18,6.11
"3300050347_11.fna",87.23,4.27
"3300050347_20.fna",97.26,2.05
"3300050347_45.fna",88.89,5.98
"3300050347_36.fna",78.12,2.41
"3300050347_5.fna",77.01,1.88
"3300050347_7.fna",95.69,1.72
"3300050347_27.fna",91.48,3.39
"3300050347_21.fna",98.01,5.84
"3300050347_4.fna",75.06,4.38
"3300050347_28.fna",93.59,2.42
"3300050347_10.fna",95.73,3.42
"3300050347_22.fna",75.9,1.85
"3300050347_3.fna",73.5,1.68
"3300050347_48.fna",81.91,1.85
"3300050347_1.fna",77.01,2.61
"3300050347_15.fna",84.32,8.55
"3300050349_26.fna",80.27,0.71
"3300050349_42.fna",82.91,3.71
"3300050349_3.fna",88.64,6.34
"3300050349_31.fna",94.44,0.93
"3300050349_65.fna",98.06,0.93
"3300050349_28.fna",77.89,7.74
"3300050349_21.fna",96.37,4.27
"3300050349_23.fna",82.59,6.08
"3300050349_18.fna",87.75,0
"3300050349_37.fna",71.97,6.52
"3300050349_44.fna",81.99,3.51
"3300050349_62.fna",89.32,3.42
"3300050349_58.fna",93.9,4.4
"3300050349_39.fna",94.14,2.65
"3300050349_19.fna",70.76,1.72
"3300050349_5.fna",98.26,0
"3300050349_64.fna",94.86,1.71
"3300050349_68.fna",79.61,2.76
"3300050349_43.fna",86.21,0.93
"3300050349_46.fna",75.81,1.37
"3300050350_45.fna",92.6,5.8
"3300050350_24.fna",94.56,6.07
"3300050350_33.fna",98.29,1.28
"3300050350_60.fna",84.01,1.71
"3300050350_42.fna",97.69,3.7
"3300050350_29.fna",90.37,0
"3300050350_7.fna",93.1,5.02
"3300050350_38.fna",98.77,0.93
"3300050350_28.fna",82.32,3.91
"3300050350_49.fna",77.99,1.1
"3300050350_22.fna",74.29,4.31
"3300050350_40.fna",91.49,2.9
"3300050350_62.fna",91.72,2.6
"3300050350_21.fna",96.87,4.91
"3300050350_10.fna",89.07,7.43
"3300050350_36.fna",82.22,5.84
"3300050350_55.fna",97.69,1.23
"3300050350_57.fna",77.97,1.74
"3300050350_13.fna",90.37,4.39
"3300050350_61.fna",97.69,9.26
"3300050350_5.fna",79.45,3.42
"3300050350_48.fna",81.79,2.09
"3300050350_54.fna",96.58,5.13
"3300050350_12.fna",80.91,0
"3300050350_56.fna",92.33,3.13
"3300050351_19.fna",94.92,5.24
"3300050351_6.fna",87.74,3.87
"3300050351_16.fna",75.95,7.02
"3300050351_29.fna",78.95,1.71
"3300050351_21.fna",84.18,3.11
"3300050351_39.fna",84.48,7.28
"3300050351_15.fna",72.33,3.34
"3300050351_23.fna",75.71,2.97
"3300050351_30.fna",77.15,1.95
"3300050351_25.fna",75.53,3.24
"3300050351_7.fna",70.24,6.53
"3300050351_22.fna",93.92,2.7
"3300050352_7.fna",90.67,7.12
"3300050352_15.fna",72.41,6.9
"3300050352_37.fna",93.01,7.21
"3300050352_6.fna",82.92,6.89
"3300050352_20.fna",94.59,3.85
"3300050352_24.fna",96.59,5.68
"3300050353_37.fna",94.59,8.58
"3300050353_15.fna",89.87,0.91
"3300050353_46.fna",89.17,0
"3300050353_11.fna",71.61,2.15
"3300050353_4.fna",84.57,8.25
"3300050353_30.fna",70.78,1.29
"3300050353_6.fna",98.63,2.74
"3300050353_7.fna",84.57,1.8
"3300050353_5.fna",92.64,5.18
"3300050353_50.fna",84.66,0
"3300050353_47.fna",98.29,2.56
"3300050455_1.fna",79.4,4.06
"3300050457_6.fna",78.55,2.56
"3300050457_5.fna",94.88,1.91
"3300050458_2.fna",87.21,1.54
"3300050459_2.fna",85.4,0.86
"3300050463_4.fna",71.02,4.01
"3300050464_6.fna",87.22,3.42
"3300050467_2.fna",89.74,6.44
"3300050467_1.fna",77.92,5.73
"3300050471_10.fna",88.07,1.87
"3300050471_1.fna",97.89,5.55
"3300050471_3.fna",79.83,7.26
"3300050471_6.fna",83.89,1.85
"3300050472_8.fna",74.98,0.5
"3300050472_1.fna",97.97,2.03
"3300050472_6.fna",98.29,3.28
"3300050473_3.fna",82.74,6.58
"3300050473_7.fna",88.89,3.42
"3300050474_2.fna",92.1,5.24
"3300050475_11.fna",73.06,0.93
"3300050475_3.fna",85.19,2.31
"3300050477_5.fna",96.98,0.86
"3300050478_9.fna",75.57,0.93
"3300050478_4.fna",87.99,1.78
"3300050479_1.fna",97.86,1.14
"3300050481_5.fna",73.96,1.85
"3300050485_15.fna",98.62,1.24
"3300050485_12.fna",86.38,2.78
"3300050573_10.fna",81,1.51
"3300050573_1.fna",89.26,1.88
"3300050573_17.fna",94.02,2.64
"3300050574_13.fna",96.38,1.81
"3300050574_17.fna",96.31,4.27
"3300050575_19.fna",88.64,7.24
"3300050575_14.fna",74.14,7.68
"3300050575_11.fna",96.98,0.86
"3300050575_7.fna",82,3.04
"3300050575_16.fna",100,3.3
"3300050648_10.fna",96.55,2.16
"3300050648_13.fna",92.79,5.72
"3300050648_23.fna",71.88,1.4
"3300050648_17.fna",86.51,0.86
"3300050648_15.fna",78.21,3.42
"3300050649_28.fna",72.51,2.56
"3300050649_30.fna",81.42,2.2
"3300050649_14.fna",100,0
"3300050649_4.fna",83.61,2.96
"3300050649_31.fna",77.05,6.89
"3300050649_12.fna",89.23,7.32
"3300050650_9.fna",85.92,2.13
"3300050650_12.fna",77.87,3.42
"3300050650_20.fna",71.2,1.2
"3300050651_22.fna",95.69,2.41
"3300050651_24.fna",73.95,3.42
"3300050651_18.fna",97.84,0.86
"3300050651_23.fna",98.29,3.47
"3300050651_9.fna",97.85,2.69
"3300050652_6.fna",76.83,2.07
"3300050653_4.fna",82.67,2.53
"3300050653_9.fna",96.12,0
"3300050653_11.fna",96.63,5.92
"3300050653_5.fna",71.33,3.36
"3300050654_17.fna",92.66,0.92
"3300050654_16.fna",87.22,1.59
"3300050654_27.fna",88.48,3.42
"3300050654_14.fna",85.9,6.96
"3300050654_13.fna",76.9,7.87
"3300050655_10.fna",94.91,0.93
"3300050655_23.fna",98.9,2.8
"3300050655_28.fna",83.57,9.88
"3300050655_8.fna",99.32,3.38
"3300050655_25.fna",95.73,0.93
"3300050656_3.fna",85.06,1.79
"3300050656_16.fna",78.84,1.82
"3300050656_1.fna",99.15,2.56
"3300050657_29.fna",76.97,7.86
"3300050657_21.fna",73.68,2.44
"3300050657_27.fna",100,4.81
"3300050657_11.fna",87.33,6.4
"3300050657_8.fna",74.02,2.15
"3300050657_13.fna",99.15,1.28
"3300050658_15.fna",81.71,2.08
"3300050659_24.fna",96.55,0.86
"3300050659_21.fna",97.86,7.23
"3300050659_6.fna",92.05,3.42
"3300050659_25.fna",96.12,0
"3300050659_1.fna",81.36,3.52
"3300050659_2.fna",86.87,3.45
"3300050659_12.fna",78.89,2.36
"3300050660_4.fna",88.17,2.71
"3300050661_12.fna",95.51,3.42
"3300050661_20.fna",83.58,3.73
"3300050661_3.fna",94.83,5.75
"3300050662_6.fna",78.41,2.32
"3300050662_11.fna",96.98,1.72
"3300050663_22.fna",71.25,5.04
"3300050663_17.fna",71.37,2.99
"3300050663_16.fna",83.01,4.3
"3300050663_30.fna",97.44,4.27
"3300050663_26.fna",85.26,2.29
"3300050664_21.fna",86.93,1.14
"3300050664_10.fna",94.51,3.05
"3300050664_9.fna",97.41,0.17
"3300050664_11.fna",78.6,2.47
"3300050664_22.fna",90.43,0.86
"3300050664_8.fna",86.99,3.61
"3300050664_4.fna",93.38,6.84
"3300050665_12.fna",96.98,0.86
"3300050665_4.fna",70.12,0
"3300050665_1.fna",85.76,2.13
"3300050666_12.fna",95.71,1.29
"3300050666_2.fna",82.81,2.29
"3300050667_11.fna",79.82,2.4
"3300051063_4.fna",96.58,0
"3300051063_1.fna",86.3,5.74
"3300051078_9.fna",95.6,0
"3300051078_7.fna",79.24,3.85
"3300051079_9.fna",78.49,4.3
"3300051082_12.fna",94.83,9.25
"3300051082_9.fna",77.45,1.34
"3300051088_1.fna",94.32,1.03
"3300051089_3.fna",93.38,1.71
"3300051089_1.fna",73.77,7.89
"3300051089_22.fna",72.49,3.64
"3300051089_6.fna",81.82,3.19
"3300051089_18.fna",80.77,1.02
"3300051089_7.fna",85.92,9.9
"3300051089_8.fna",97.44,1.71
"3300051090_10.fna",86.92,1.69
"3300051090_7.fna",96.53,2.74
"3300051090_17.fna",85.23,2.73
"3300051090_12.fna",82.62,2.64
"3300051091_1.fna",73.99,3.09
"3300051091_3.fna",98.24,1.88
"3300051092_11.fna",85.93,2.73
"3300051092_2.fna",95.06,3.59
"3300051094_22.fna",97.38,3.42
"3300051094_58.fna",82.31,2.66
"3300051094_48.fna",98.21,1.71
"3300051094_73.fna",89.53,2.73
"3300051094_62.fna",87.18,2.14
"3300051094_50.fna",92.95,1.28
"3300051094_67.fna",96.93,4.31
"3300051094_90.fna",85.98,0
"3300051094_71.fna",79.84,2.56
"3300051094_135.fna",94.87,5.98
"3300051094_18.fna",96.57,1.1
"3300051094_131.fna",96.62,4.19
"3300051094_16.fna",82.4,3.38
"3300051094_133.fna",92.18,0.55
"3300051094_44.fna",93.6,8.31
"3300051094_102.fna",98.67,1.88
"3300051094_91.fna",80.82,9.05
"3300051094_63.fna",95.1,2.08
"3300051094_21.fna",92.26,1.61
"3300051094_132.fna",96.62,3.72
"3300051094_93.fna",99,0.25
"3300051094_19.fna",93.23,1.45
"3300051094_116.fna",97.3,8.78
"3300051094_96.fna",75.76,0
"3300051094_100.fna",92.7,1.49
"3300051094_118.fna",75.79,1.71
"3300051094_119.fna",71.16,0.91
"3300051094_112.fna",97.17,2.78
"3300051094_36.fna",98.65,2.03
"3300051094_64.fna",88.7,0.92
"3300051094_92.fna",97.09,1.94
"3300051094_86.fna",96.59,3.11
"3300051094_82.fna",95.84,0.16
"3300051094_98.fna",95.98,1.94
"3300051094_110.fna",96.58,3.07
"3300051094_34.fna",96.15,1.76
"3300051094_85.fna",97.4,1.68
"3300051094_129.fna",97.37,2.74
"3300051094_89.fna",97.69,0
"3300051094_79.fna",82.97,1.85
"3300051094_20.fna",98.01,3.42
"3300051094_35.fna",84.91,1.75
"3300051094_94.fna",93.11,1.71
"3300051094_80.fna",96.7,0.99
"3300051094_83.fna",99.15,1.28
"3300051094_77.fna",97.51,0.75
"3300051094_25.fna",96.34,0.86
"3300051095_30.fna",98.59,0
"3300051095_2.fna",75.86,0
"3300051095_3.fna",93.59,2.56
"3300051096_61.fna",93.89,7.89
"3300051096_55.fna",70.79,5.47
"3300051096_12.fna",94.91,5.38
"3300051096_67.fna",71.52,3.89
"3300051096_66.fna",99.35,2.2
"3300051096_11.fna",99.32,3.38
"3300051096_68.fna",96.96,6.93
"3300051096_107.fna",92.14,1.64
"3300051096_121.fna",98.29,0.85
"3300051096_116.fna",96.42,2.64
"3300051096_46.fna",97.64,4.39
"3300051096_21.fna",96.4,3.86
"3300051096_133.fna",78.51,2.63
"3300051096_51.fna",94.18,3.69
"3300051096_103.fna",73.08,4.35
"3300051096_128.fna",82.91,0.85
"3300051096_104.fna",96.57,2.73
"3300051096_47.fna",86.24,3.18
"3300051096_73.fna",98.11,1.08
"3300051096_18.fna",95.09,3.17
"3300051096_126.fna",95.4,4.71
"3300051096_49.fna",95.09,0.88
"3300051096_17.fna",96.58,1.71
"3300051096_135.fna",91.38,2.04
"3300051096_27.fna",88.82,6.19
"3300051096_20.fna",95.73,5.98
"3300051096_97.fna",75.27,5.08
"3300051096_44.fna",96.58,1.71
"3300051096_81.fna",90.46,2.24
"3300051096_161.fna",81.36,2.97
"3300051096_169.fna",82.44,1.24
"3300051096_79.fna",94.16,5.74
"3300051096_69.fna",72.28,0
"3300051096_45.fna",99.32,2.7
"3300051096_122.fna",100,1.97
"3300051096_157.fna",87.5,0.8
"3300051096_153.fna",96.51,4.15
"3300051096_78.fna",99.09,1.71
"3300051096_134.fna",86.72,1.15
"3300051096_64.fna",96.06,1.23
"3300051096_164.fna",86.58,4.21
"3300051096_62.fna",97.41,2.63
"3300051096_124.fna",98.02,7.69
"3300051096_92.fna",99.15,4.27
"3300051096_141.fna",87.99,4.27
"3300051096_154.fna",93.24,2.75
"3300051096_88.fna",95.73,2.56
"3300051096_93.fna",98.9,3.3
"3300051096_94.fna",97.73,3.1
"3300051096_139.fna",91.03,3.31
"3300051096_76.fna",97.44,1.71
"3300051097_52.fna",84.96,1.55
"3300051097_30.fna",94.02,3.42
"3300051097_9.fna",91.27,1.64
"3300051097_27.fna",95.05,9.82
"3300051097_54.fna",75.68,7.12
"3300051097_34.fna",72.45,1.61
"3300051097_42.fna",97.69,1.39
"3300051097_19.fna",78.08,6.82
"3300051098_41.fna",98.29,4.32
"3300051098_38.fna",72.97,2.9
"3300051098_4.fna",91.52,5.13
"3300051098_15.fna",79.27,4.27
"3300051098_25.fna",89.93,4.04
"3300051098_36.fna",86.21,0.86
"3300051098_5.fna",95.11,1.85
"3300051098_10.fna",94.87,2.56
"3300051098_9.fna",78.74,1.1
"3300051098_2.fna",75.47,0.51
"3300051098_18.fna",72.46,4.66
"3300051098_14.fna",94.32,1.14
"3300051099_17.fna",90.93,3.04
"3300051099_36.fna",86.86,2
"3300051099_55.fna",90.16,0.43
"3300051099_45.fna",87.16,1.98
"3300051099_21.fna",100,0
"3300051099_20.fna",96.67,1.6
"3300051099_88.fna",100,3.04
"3300051099_32.fna",94.44,6.46
"3300051099_97.fna",89.41,1.96
"3300051099_9.fna",79.59,0.65
"3300051099_150.fna",98.33,7.57
"3300051099_158.fna",99.32,5.07
"3300051099_135.fna",79.67,2.97
"3300051099_30.fna",82.62,2.35
"3300051099_25.fna",77.82,0.99
"3300051099_49.fna",95.01,0.69
"3300051099_122.fna",72.6,3.74
"3300051099_52.fna",98.24,2.56
"3300051099_53.fna",84.26,0.93
"3300051099_128.fna",88.89,0.85
"3300051099_133.fna",98.13,0.77
"3300051099_76.fna",75.1,0.85
"3300051099_39.fna",98.93,3
"3300051099_24.fna",77.86,5.74
"3300051099_82.fna",96.58,3.42
"3300051099_123.fna",86.47,0.85
"3300051099_166.fna",80.86,0.93
"3300051099_101.fna",96.34,1.67
"3300051099_37.fna",85.79,8.01
"3300051099_164.fna",81.26,2.53
"3300051099_147.fna",99.74,0
"3300051099_81.fna",93.66,0.69
"3300051099_145.fna",88.06,1.13
"3300051099_104.fna",96.58,0.85
"3300051099_154.fna",71.21,0
"3300051099_100.fna",93.48,8.2
"3300051099_159.fna",95.64,8.46
"3300051099_115.fna",82.75,3.88
"3300051099_114.fna",92.2,1.83
"3300051099_160.fna",97.86,1.71
"3300051099_141.fna",77.96,6.99
"3300051099_107.fna",95.05,0.7
"3300051099_14.fna",80.1,4.95
"3300051099_78.fna",85.3,5.13
"3300051099_77.fna",79.39,2.91
"3300051100_15.fna",92.62,3.54
"3300051100_10.fna",93.17,5.87
"3300051100_2.fna",84.23,3.18
"3300051100_13.fna",82.2,5.33
"3300051100_37.fna",78.92,2.8
"3300051100_25.fna",92.31,3.3
"3300051100_4.fna",90.8,4.54
"3300051100_6.fna",95.23,0.88
"3300051101_15.fna",75.64,9.4
"3300051101_21.fna",98.9,2.2
"3300051101_11.fna",73.69,4.06
"3300051103_13.fna",85.82,1.67
"3300051103_41.fna",80.49,1.87
"3300051103_40.fna",81.93,4.51
"3300051104_11.fna",73.88,1.76
"3300051104_4.fna",92.7,2.16
"3300051104_10.fna",87.29,7.53
